pair,frame,label,cell_id,n_contour_points,mean_curvature,max_abs_curvature,mean_fluorescence,max_fluorescence
Spn3-GFP_Sad1-mCh_080724_009,0,70,Spn3-GFP_Sad1-mCh_080724_009_f0000_l70,300,0.01749086703534477,0.072389566453125,426.49295613606773,1929.792236328125
Spn3-GFP_Sad1-mCh_080724_009,0,78,Spn3-GFP_Sad1-mCh_080724_009_f0000_l78,300,0.012283686773430873,0.04144381437610776,230.60478149414064,332.246337890625
Spn3-GFP_Sad1-mCh_080724_011,0,5,Spn3-GFP_Sad1-mCh_080724_011_f0000_l5,300,0.01318049395276538,0.03613219508517286,217.5079931640625,365.802490234375
Spn3-GFP_Sad1-mCh_080724_011,0,20,Spn3-GFP_Sad1-mCh_080724_011_f0000_l20,300,0.017365868027972253,0.057695850232641156,398.17106079101563,1877.509765625
Spn3-GFP_Sad1-mCh_080724_011,0,21,Spn3-GFP_Sad1-mCh_080724_011_f0000_l21,300,0.017840777796633817,0.07860165793550557,424.7872961425781,2017.078125
Spn3-GFP_Sad1-mCh_080724_011,0,22,Spn3-GFP_Sad1-mCh_080724_011_f0000_l22,300,0.017453541350794324,0.4285116544528045,102.66619710286459,181.553955078125
Spn3-GFP_Sad1-mCh_080724_011,0,23,Spn3-GFP_Sad1-mCh_080724_011_f0000_l23,300,0.011370417420770901,0.03971378628953198,269.56721923828127,486.372314453125
Spn3-GFP_Sad1-mCh_080724_011,0,29,Spn3-GFP_Sad1-mCh_080724_011_f0000_l29,300,0.016743360198363148,0.13322761795883079,650.5949532063802,2849.0
Spn3-GFP_Sad1-mCh_080724_011,0,30,Spn3-GFP_Sad1-mCh_080724_011_f0000_l30,300,0.019006285672956546,0.25163456670416773,679.1136010742188,2849.0
Spn3-GFP_Sad1-mCh_080724_011,0,57,Spn3-GFP_Sad1-mCh_080724_011_f0000_l57,300,0.011212703352556934,0.03665222707501776,231.49121826171876,360.227294921875
Spn3-GFP_Sad1-mCh_080724_011,0,60,Spn3-GFP_Sad1-mCh_080724_011_f0000_l60,300,0.010706147421747,0.053359368523641766,254.78556884765624,438.0628662109375
Spn3-GFP_Sad1-mCh_080724_011,0,68,Spn3-GFP_Sad1-mCh_080724_011_f0000_l68,300,0.011400120362004648,0.03313138999940022,246.84533325195312,422.6920166015625
Spn3-GFP_Sad1-mCh_080724_011,0,72,Spn3-GFP_Sad1-mCh_080724_011_f0000_l72,300,0.013004081329836176,0.061111360007398315,350.4548291015625,2140.85498046875
Spn3-GFP_Sad1-mCh_080724_011,0,73,Spn3-GFP_Sad1-mCh_080724_011_f0000_l73,300,0.012867939553725371,0.0830604330140395,355.2781717936198,2150.59375
Spn3-GFP_Sad1-mCh_080724_011,0,74,Spn3-GFP_Sad1-mCh_080724_011_f0000_l74,300,0.014321541774946342,0.03561053192831508,230.12469482421875,392.35888671875
